date,open,high,low,close,volume
2019-01-01,1177.09,1186.93,1167.26,1174.71,1615172
2019-01-02,1155.06,1160.32,1149.79,1156.87,389686
2019-01-03,1174.5,1179.87,1169.13,1170.32,875875
2019-01-04,1194.34,1201.42,1187.26,1187.3,406999
2019-01-07,1149.36,1153.71,1145.0,1153.41,560056
2019-01-08,1132.85,1135.85,1129.86,1131.43,1263224
2019-01-09,1136.25,1140.78,1131.72,1133.95,643770
2019-01-10,1125.94,1130.47,1121.41,1128.92,601193
2019-01-11,1130.19,1133.51,1126.88,1128.97,1991763
2019-01-14,1111.91,1120.34,1103.48,1114.95,427497
2019-01-15,1135.61,1142.73,1128.49,1130.1,459645
2019-01-16,1143.46,1144.83,1142.08,1143.7,1866559
2019-01-17,1141.85,1149.62,1134.09,1145.18,1145394
2019-01-18,1166.44,1171.38,1161.49,1165.06,181706
2019-01-21,1177.83,1182.94,1172.72,1173.61,907420
2019-01-22,1159.26,1161.01,1157.51,1158.93,1173781
2019-01-23,1161.06,1166.64,1155.49,1165.7,581063
2019-01-24,1145.12,1151.57,1138.68,1149.4,1141701
2019-01-25,1167.17,1171.77,1162.57,1165.0,1332176
2019-01-28,1165.26,1168.13,1162.39,1164.47,576156
2019-01-29,1164.15,1169.54,1158.75,1161.6,1643560
2019-01-30,1150.45,1154.12,1146.77,1150.14,960266
2019-01-31,1174.25,1178.74,1169.76,1171.78,1930576
2019-02-01,1169.04,1171.03,1167.04,1169.41,266701
2019-02-04,1161.12,1168.91,1153.32,1162.27,716049
2019-02-05,1156.12,1165.04,1147.2,1156.5,1470413
2019-02-06,1167.88,1170.05,1165.71,1166.12,1800339
2019-02-07,1176.08,1180.37,1171.79,1172.88,521224
2019-02-08,1179.35,1184.47,1174.24,1180.52,1962475
2019-02-11,1190.39,1193.35,1187.43,1188.53,467432
2019-02-12,1231.6,1241.57,1221.63,1227.7,890632
2019-02-13,1222.3,1225.9,1218.7,1220.6,698269
2019-02-14,1213.1,1218.03,1208.17,1211.62,906213
2019-02-15,1204.93,1215.9,1193.95,1197.28,1814502
2019-02-18,1203.74,1209.88,1197.59,1208.76,1491845
