date,open,high,low,close,volume
2019-01-01,1460.04,1472.24,1447.84,1457.08,1615172
2019-01-02,1432.71,1439.24,1426.18,1434.96,389686
2019-01-03,1456.83,1463.49,1450.16,1451.64,875875
2019-01-04,1481.43,1490.21,1472.65,1472.7,406999
2019-01-07,1425.63,1431.03,1420.24,1430.66,560056
2019-01-08,1405.16,1408.88,1401.45,1403.41,1263224
2019-01-09,1409.38,1414.99,1403.76,1406.52,643770
2019-01-10,1396.59,1402.21,1390.97,1400.28,601193
2019-01-11,1401.87,1405.98,1397.75,1400.35,1991763
2019-01-14,1379.19,1389.64,1368.74,1382.96,427497
2019-01-15,1408.59,1417.42,1399.75,1401.75,459645
2019-01-16,1418.32,1420.02,1416.61,1418.62,1866559
2019-01-17,1416.33,1425.97,1406.69,1420.45,1145394
2019-01-18,1446.82,1452.95,1440.69,1445.11,181706
2019-01-21,1460.95,1467.29,1454.61,1455.72,907420
2019-01-22,1437.92,1440.09,1435.74,1437.5,1173781
2019-01-23,1440.15,1447.07,1433.24,1445.91,581063
2019-01-24,1420.39,1428.38,1412.39,1425.69,1141701
2019-01-25,1447.73,1453.44,1442.02,1445.03,1332176
2019-01-28,1445.36,1448.93,1441.8,1444.39,576156
2019-01-29,1443.98,1450.67,1437.29,1440.82,1643560
2019-01-30,1426.98,1431.55,1422.42,1426.6,960266
2019-01-31,1456.51,1462.08,1450.94,1453.44,1930576
2019-02-01,1450.04,1452.52,1447.57,1450.51,266701
2019-02-04,1440.22,1449.89,1430.55,1441.66,716049
2019-02-05,1434.03,1445.09,1422.96,1434.49,1470413
2019-02-06,1448.61,1451.3,1445.91,1446.42,1800339
2019-02-07,1458.78,1464.1,1453.46,1454.81,521224
2019-02-08,1462.84,1469.19,1456.49,1464.29,1962475
2019-02-11,1476.53,1480.21,1472.86,1474.22,467432
2019-02-12,1527.64,1540.01,1515.28,1522.81,890632
2019-02-13,1516.11,1520.58,1511.64,1514.0,698269
2019-02-14,1504.7,1510.82,1498.59,1502.87,906213
2019-02-15,1494.56,1508.18,1480.94,1485.08,1814502
2019-02-18,1493.09,1500.71,1485.47,1499.31,1491845
2019-02-19,1525.97,1528.41,1523.52,1525.38,1613286
2019-02-20,1518.61,1529.53,1507.69,1523.23,582599
2019-02-21,1507.33,1510.92,1503.75,1504.61,1899095
2019-02-22,1484.46,1487.5,1481.42,1486.56,927521
2019-02-25,1493.48,1506.34,1480.62,1501.59,1338728
2019-02-26,1526.67,1539.46,1513.88,1518.88,1425667
2019-02-27,1528.81,1537.33,1520.29,1531.76,1359550
2019-02-28,1511.87,1519.52,1504.21,1517.0,1243414
2019-03-01,1526.14,1532.77,1519.5,1522.75,1012058
2019-03-04,1525.54,1528.1,1522.98,1525.88,1330517
2019-03-05,1531.2,1532.48,1529.93,1531.35,1819854
2019-03-06,1553.1,1559.43,1546.78,1551.96,840570
2019-03-07,1558.97,1564.59,1553.36,1557.64,1070666
2019-03-08,1576.16,1579.98,1572.33,1574.06,442144
2019-03-11,1581.89,1594.36,1569.43,1576.13,774614
2019-03-12,1584.47,1590.31,1578.64,1583.45,1566890
2019-03-13,1597.89,1599.19,1596.6,1599.0,1316712
2019-03-14,1565.11,1565.74,1564.49,1564.9,501177
2019-03-15,1553.91,1557.96,1549.87,1557.88,1137665
2019-03-18,1547.87,1548.52,1547.22,1547.39,1642726
2019-03-19,1531.19,1533.26,1529.12,1533.09,335637
2019-03-20,1532.26,1537.29,1527.23,1527.24,217702
2019-03-21,1567.04,1572.75,1561.33,1562.34,846178
2019-03-22,1546.04,1552.38,1539.71,1542.64,1347440
2019-03-25,1564.76,1565.84,1563.68,1565.68,695318
2019-03-26,1525.91,1533.04,1518.78,1527.11,1659963
2019-03-27,1515.7,1525.44,1505.96,1519.91,1708984
2019-03-28,1530.43,1537.26,1523.6,1524.09,1111786
2019-03-29,1540.93,1550.66,1531.2,1538.01,819800
2019-04-01,1559.63,1565.54,1553.72,1554.97,179260
2019-04-02,1575.43,1582.83,1568.03,1574.06,1660954
2019-04-03,1563.43,1575.94,1550.92,1566.32,1801036
2019-04-04,1555.55,1562.22,1548.89,1555.96,940540
2019-04-05,1575.92,1586.09,1565.76,1576.58,1081289
2019-04-08,1570.66,1575.49,1565.82,1572.54,1531651
2019-04-09,1539.85,1549.1,1530.6,1543.2,1421204
2019-04-10,1520.59,1524.9,1516.29,1517.64,357035
2019-04-11,1494.24,1501.62,1486.85,1497.3,1377393
2019-04-12,1510.48,1514.18,1506.77,1508.96,1856835
2019-04-15,1515.62,1526.81,1504.43,1512.64,1526302
2019-04-16,1533.0,1541.28,1524.71,1528.85,1013063
2019-04-17,1523.76,1538.28,1509.23,1519.54,1094006
2019-04-18,1523.32,1524.24,1522.39,1523.61,593616
2019-04-19,1532.86,1540.25,1525.46,1538.44,1355442
2019-04-22,1531.17,1542.13,1520.21,1531.78,558830
2019-04-23,1541.29,1546.58,1535.99,1542.77,749531
2019-04-24,1531.87,1540.58,1523.16,1527.99,603646
2019-04-25,1521.47,1525.36,1517.59,1520.15,737108
2019-04-26,1514.57,1517.49,1511.66,1511.92,796775
