date,open,high,low,close,volume
2019-01-01,1376.47,1387.97,1364.97,1373.67,1615172
2019-01-02,1350.7,1356.85,1344.54,1352.82,389686
2019-01-03,1373.43,1379.72,1367.15,1368.54,875875
2019-01-04,1396.63,1404.91,1388.35,1388.4,406999
2019-01-07,1344.03,1349.12,1338.94,1348.76,560056
2019-01-08,1324.73,1328.23,1321.23,1323.07,1263224
2019-01-09,1328.7,1334.0,1323.41,1326.01,643770
2019-01-10,1316.65,1321.95,1311.35,1320.13,601193
2019-01-11,1321.62,1325.5,1317.74,1320.19,1991763
2019-01-14,1300.24,1310.09,1290.39,1303.8,427497
2019-01-15,1327.96,1336.28,1319.63,1321.51,459645
2019-01-16,1337.13,1338.74,1335.52,1337.42,1866559
2019-01-17,1335.26,1344.34,1326.17,1339.14,1145394
2019-01-18,1364.0,1369.78,1358.22,1362.39,181706
2019-01-21,1377.32,1383.3,1371.35,1372.39,907420
2019-01-22,1355.61,1357.66,1353.56,1355.22,1173781
2019-01-23,1357.72,1364.24,1351.2,1363.14,581063
2019-01-24,1339.08,1346.62,1331.54,1344.08,1141701
2019-01-25,1364.86,1370.24,1359.48,1362.32,1332176
2019-01-28,1362.63,1365.99,1359.27,1361.71,576156
2019-01-29,1361.32,1367.63,1355.01,1358.34,1643560
2019-01-30,1345.3,1349.6,1341.0,1344.94,960266
2019-01-31,1373.14,1378.39,1367.89,1370.25,1930576
2019-02-01,1367.04,1369.37,1364.71,1367.48,266701
2019-02-04,1357.78,1366.89,1348.67,1359.13,716049
2019-02-05,1351.94,1362.37,1341.51,1352.38,1470413
2019-02-06,1365.69,1368.23,1363.15,1363.63,1800339
2019-02-07,1375.28,1380.29,1370.26,1371.54,521224
2019-02-08,1379.11,1385.09,1373.12,1380.47,1962475
2019-02-11,1392.01,1395.48,1388.55,1389.83,467432
2019-02-12,1440.2,1451.86,1428.54,1435.64,890632
2019-02-13,1429.33,1433.54,1425.11,1427.34,698269
2019-02-14,1418.57,1424.34,1412.81,1416.84,906213
2019-02-15,1409.01,1421.85,1396.17,1400.07,1814502
2019-02-18,1407.62,1414.81,1400.44,1413.49,1491845
2019-02-19,1438.62,1440.92,1436.31,1438.06,1613286
2019-02-20,1431.69,1441.98,1421.39,1436.04,582599
