date,open,high,low,close,volume
2019-01-01,1438.89,1450.92,1426.87,1435.98,1615172
2019-01-02,1411.96,1418.39,1405.52,1414.17,389686
2019-01-03,1435.73,1442.29,1429.16,1430.61,875875
2019-01-04,1459.97,1468.63,1451.32,1451.37,406999
2019-01-07,1404.99,1410.31,1399.67,1409.94,560056
2019-01-08,1384.81,1388.47,1381.15,1383.08,1263224
2019-01-09,1388.96,1394.5,1383.43,1386.15,643770
2019-01-10,1376.36,1381.9,1370.83,1380.0,601193
2019-01-11,1381.56,1385.62,1377.51,1380.07,1991763
2019-01-14,1359.21,1369.51,1348.91,1362.93,427497
2019-01-15,1388.19,1396.89,1379.48,1381.45,459645
2019-01-16,1397.78,1399.45,1396.1,1398.08,1866559
2019-01-17,1395.82,1405.31,1386.32,1399.88,1145394
2019-01-18,1425.87,1431.91,1419.83,1424.18,181706
2019-01-21,1439.79,1446.04,1433.54,1434.63,907420
2019-01-22,1417.09,1419.24,1414.95,1416.68,1173781
2019-01-23,1419.3,1426.12,1412.48,1424.97,581063
2019-01-24,1399.81,1407.7,1391.93,1405.04,1141701
2019-01-25,1426.76,1432.39,1421.14,1424.11,1332176
2019-01-28,1424.43,1427.94,1420.92,1423.47,576156
2019-01-29,1423.07,1429.66,1416.47,1419.95,1643560
2019-01-30,1406.32,1410.81,1401.82,1405.94,960266
2019-01-31,1435.42,1440.91,1429.93,1432.39,1930576
2019-02-01,1429.04,1431.48,1426.61,1429.51,266701
2019-02-04,1419.36,1428.89,1409.84,1420.78,716049
2019-02-05,1413.26,1424.16,1402.35,1413.72,1470413
2019-02-06,1427.63,1430.29,1424.97,1425.48,1800339
2019-02-07,1437.65,1442.89,1432.41,1433.74,521224
2019-02-08,1441.66,1447.91,1435.4,1443.08,1962475
2019-02-11,1455.15,1458.77,1451.53,1452.87,467432
2019-02-12,1505.52,1517.71,1493.33,1500.75,890632
2019-02-13,1494.15,1498.56,1489.75,1492.08,698269
2019-02-14,1482.91,1488.94,1476.88,1481.1,906213
2019-02-15,1472.92,1486.34,1459.5,1463.57,1814502
2019-02-18,1471.46,1478.98,1463.95,1477.6,1491845
2019-02-19,1503.87,1506.28,1501.46,1503.29,1613286
2019-02-20,1496.62,1507.38,1485.86,1501.17,582599
2019-02-21,1485.5,1489.04,1481.97,1482.81,1899095
2019-02-22,1462.96,1465.96,1459.97,1465.03,927521
2019-02-25,1471.85,1484.52,1459.18,1479.84,1338728
2019-02-26,1504.56,1517.16,1491.96,1496.88,1425667
2019-02-27,1506.67,1515.06,1498.27,1509.58,1359550
2019-02-28,1489.97,1497.52,1482.42,1495.03,1243414
2019-03-01,1504.03,1510.57,1497.49,1500.7,1012058
2019-03-04,1503.44,1505.96,1500.93,1503.78,1330517
2019-03-05,1509.02,1510.28,1507.77,1509.17,1819854
2019-03-06,1530.61,1536.85,1524.38,1529.49,840570
2019-03-07,1536.4,1541.93,1530.86,1535.09,1070666
2019-03-08,1553.33,1557.1,1549.56,1551.26,442144
2019-03-11,1558.98,1571.27,1546.7,1553.3,774614
2019-03-12,1561.53,1567.28,1555.77,1560.52,1566890
2019-03-13,1574.75,1576.03,1573.48,1575.84,1316712
2019-03-14,1542.44,1543.06,1541.83,1542.23,501177
